level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
306,306,1739917,2020-07-19,Michigan,Detroit,9122 Dexter Ave,4,0,https://www.gunviolencearchive.org/incident/1739917,2020,07-2020
307,307,1738635,2020-07-18,Illinois,Chicago,1600 block of S Keeler Ave,1,4,https://www.gunviolencearchive.org/incident/1738635,2020,07-2020
308,308,1739097,2020-07-17,Ohio,Columbus,E 6th Ave and Summit St,0,4,https://www.gunviolencearchive.org/incident/1739097,2020,07-2020
309,309,1739413,2020-07-17,Florida,Madison,SW Louisiana Terrace,0,4,https://www.gunviolencearchive.org/incident/1739413,2020,07-2020
310,310,1736508,2020-07-16,Tennessee,Nashville,S 7th St and Sylvan St,0,5,https://www.gunviolencearchive.org/incident/1736508,2020,07-2020
311,311,1736383,2020-07-15,Louisiana,Shreveport,6725 Buncombe Rd,1,3,https://www.gunviolencearchive.org/incident/1736383,2020,07-2020
312,312,1735326,2020-07-15,New York,Brooklyn,President St and Franklin Ave,1,5,https://www.gunviolencearchive.org/incident/1735326,2020,07-2020
313,313,1735573,2020-07-14,Missouri,Saint Joseph,S 18th St and Charles St,0,5,https://www.gunviolencearchive.org/incident/1735573,2020,07-2020
314,314,1735470,2020-07-14,North Carolina,Durham,200 Block of S Benjamine St,0,8,https://www.gunviolencearchive.org/incident/1735470,2020,07-2020
315,315,1733702,2020-07-13,New York,Brooklyn,Remsen Ave,0,6,https://www.gunviolencearchive.org/incident/1733702,2020,07-2020
316,316,1734064,2020-07-13,Kentucky,Louisville,1200 block of W Hill St,1,3,https://www.gunviolencearchive.org/incident/1734064,2020,07-2020
317,317,1734058,2020-07-13,Washington,Kent,23201 Pacific Hwy South,0,6,https://www.gunviolencearchive.org/incident/1734058,2020,07-2020
318,318,1732993,2020-07-12,New York,Brooklyn,Madison St and Marcus Garvey Blvd,1,3,https://www.gunviolencearchive.org/incident/1732993,2020,07-2020
319,319,1732485,2020-07-12,Louisiana,Baton Rouge,4718 Plank Rd,1,7,https://www.gunviolencearchive.org/incident/1732485,2020,07-2020
320,320,1732688,2020-07-12,Michigan,Lansing,3029 BeauJardin Dr,0,5,https://www.gunviolencearchive.org/incident/1732688,2020,07-2020
321,321,1732365,2020-07-12,Florida,Fort Lauderdale,3000 block of NW 12th Ct,2,2,https://www.gunviolencearchive.org/incident/1732365,2020,07-2020
322,322,1733188,2020-07-12,Illinois,Chicago,700 block of W 66th Pl,1,3,https://www.gunviolencearchive.org/incident/1733188,2020,07-2020
323,323,1732229,2020-07-12,Illinois,Chicago,1100 block of N Lawndale Ave,1,4,https://www.gunviolencearchive.org/incident/1732229,2020,07-2020
324,324,1732532,2020-07-12,Mississippi,Como,2965 Hunter Chapel Road,2,4,https://www.gunviolencearchive.org/incident/1732532,2020,07-2020
325,325,1731349,2020-07-11,New York,Rochester,485 N Clinton Ave,0,6,https://www.gunviolencearchive.org/incident/1731349,2020,07-2020
326,326,1732321,2020-07-11,Delaware,Wilmington,600 block of N Pine St,0,5,https://www.gunviolencearchive.org/incident/1732321,2020,07-2020
327,327,1727743,2020-07-07,Virginia,Alexandria,7900 block of Janna Lee Ave,0,5,https://www.gunviolencearchive.org/incident/1727743,2020,07-2020
328,328,1728683,2020-07-07,New Jersey,Paterson,Harrison St and Carroll St,4,3,https://www.gunviolencearchive.org/incident/1728683,2020,07-2020
329,329,1727567,2020-07-06,Illinois,Chicago,1305 W 76th St,0,6,https://www.gunviolencearchive.org/incident/1727567,2020,07-2020
330,330,1725108,2020-07-05,South Carolina,Greenville,1701 White Horse Rd,2,8,https://www.gunviolencearchive.org/incident/1725108,2020,07-2020
331,331,1725883,2020-07-05,Illinois,Chicago,3700 block of W Jackson Blvd,0,4,https://www.gunviolencearchive.org/incident/1725883,2020,07-2020
332,332,1725802,2020-07-05,Iowa,Davenport,1000 block of W 3rd St,1,3,https://www.gunviolencearchive.org/incident/1725802,2020,07-2020
333,333,1725167,2020-07-05,New York,New York (Manhattan),549 Academy St,0,5,https://www.gunviolencearchive.org/incident/1725167,2020,07-2020
334,334,1726770,2020-07-05,Arkansas,Helena,1317 Perry St,1,3,https://www.gunviolencearchive.org/incident/1726770,2020,07-2020
335,335,1725690,2020-07-05,Georgia,Atlanta,200 block of Auburn Ave,2,13,https://www.gunviolencearchive.org/incident/1725690,2020,07-2020
