Year,Year Code,State,State Code,Deaths,Population,Crude Rate
2008,2008,Indiana,18,450,6424806,7
2008,2008,Iowa,19,180,3016734,6
2008,2008,Kansas,20,185,2808076,6.6
2008,2008,Kentucky,21,394,4289878,9.2
2008,2008,Louisiana,22,351,4435586,7.9
2008,2008,Maine,23,103,1330509,7.7
2008,2008,Maryland,24,263,5684965,4.6
2008,2008,Massachusetts,25,118,6468967,1.8
2008,2008,Michigan,26,570,9946889,5.7
2008,2008,Minnesota,27,289,5247018,5.5
2008,2008,Mississippi,28,286,2947806,9.7
2008,2008,Missouri,29,421,5923916,7.1
2008,2008,Montana,30,132,976415,13.5
2008,2008,Nebraska,31,98,1796378,5.5
2008,2008,Nevada,32,291,2653630,11
2008,2008,New Hampshire,33,85,1315906,6.5
2008,2008,New Jersey,34,175,8711090,2
2008,2008,New Mexico,35,195,2010662,9.7
2008,2008,New York,36,429,19212436,2.2
2008,2008,North Carolina,37,669,9309449,7.2
2008,2008,North Dakota,38,55,657569,8.4
2008,2008,Ohio,39,684,11515391,5.9
2008,2008,Oklahoma,40,346,3668976,9.4
2008,2008,Oregon,41,319,3768748,8.5
2008,2008,Pennsylvania,42,770,12612285,6.1
2008,2008,Rhode Island,44,23,1055003,2.2
2008,2008,South Carolina,45,343,4528996,7.6
2008,2008,South Dakota,46,68,799124,8.5
2008,2008,Tennessee,47,609,6247411,9.7
2008,2008,Texas,48,1506,24309039,6.2
2008,2008,Utah,49,196,2663029,7.4
2008,2008,Vermont,50,44,624151,7
2008,2008,Virginia,51,524,7833496,6.7
2008,2008,Washington,53,439,6562231,6.7
2008,2008,West Virginia,54,172,1840310,9.3
2008,2008,Wisconsin,55,344,5640996,6.1
2008,2008,Wyoming,56,87,546043,15.9
2009,2009,Alabama,1,479,4757938,10.1
2009,2009,Alaska,2,79,698895,11.3
2009,2009,Arizona,4,605,6343154,9.5
2009,2009,Arkansas,5,285,2896843,9.8
2009,2009,California,6,1519,36961229,4.1
2009,2009,Colorado,8,454,4972195,9.1
2009,2009,Connecticut,9,93,3561807,2.6
2009,2009,Delaware,10,38,891730,4.3
2009,2009,Florida,12,1472,18652644,7.9
2009,2009,Georgia,13,743,9620846,7.7
2009,2009,Hawaii,15,36,1346717,2.7
2009,2009,Idaho,16,176,1554439,11.3
2009,2009,Illinois,17,402,12796778,3.1
2009,2009,Indiana,18,458,6459325,7.1
2009,2009,Iowa,19,160,3032870,5.3
2009,2009,Kansas,20,200,2832704,7.1
2009,2009,Kentucky,21,403,4317074,9.3
2009,2009,Louisiana,22,328,4491648,7.3
2009,2009,Maine,23,106,1329590,8
2009,2009,Maryland,24,252,5730388,4.4
2009,2009,Massachusetts,25,89,6517613,1.4
2009,2009,Michigan,26,575,9901591,5.8
2009,2009,Minnesota,27,281,5281203,5.3
2009,2009,Mississippi,28,269,2958774,9.1
2009,2009,Missouri,29,471,5961088,7.9
2009,2009,Montana,30,136,983982,13.8
2009,2009,Nebraska,31,93,1812683,5.1
2009,2009,Nevada,32,295,2684665,11
2009,2009,New Hampshire,33,82,1316102,6.2
2009,2009,New Jersey,34,173,8755602,2
2009,2009,New Mexico,35,192,2036802,9.4
