level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
270,270,2086236,2021-08-09,Michigan,Flint,3201 Hammerberg Rd,2,4,https://www.gunviolencearchive.org/incident/2086236,2021,08-2021
271,271,2085396,2021-08-08,New York,Brooklyn,101 Wortman Ave,3,2,https://www.gunviolencearchive.org/incident/2085396,2021,08-2021
272,272,2085388,2021-08-08,Illinois,Chicago,1800 block of W 87th St,1,6,https://www.gunviolencearchive.org/incident/2085388,2021,08-2021
273,273,2085401,2021-08-08,Illinois,Chicago,8300 block of S Halsted St,1,4,https://www.gunviolencearchive.org/incident/2085401,2021,08-2021
274,274,2085489,2021-08-08,Texas,Houston,2504 FM 1960 Rd E,1,5,https://www.gunviolencearchive.org/incident/2085489,2021,08-2021
275,275,2085438,2021-08-08,District of Columbia,Washington,3600 block of New York Ave NE,0,4,https://www.gunviolencearchive.org/incident/2085438,2021,08-2021
276,276,2085542,2021-08-08,Louisiana,New Orleans,700 block of Bourbon St,0,5,https://www.gunviolencearchive.org/incident/2085542,2021,08-2021
277,277,2085256,2021-08-07,Alabama,Montgomery,200 block of John Morris Ave,0,4,https://www.gunviolencearchive.org/incident/2085256,2021,08-2021
278,278,2085071,2021-08-07,Illinois,Chicago,211 S Maplewood Ave,0,4,https://www.gunviolencearchive.org/incident/2085071,2021,08-2021
279,279,2084884,2021-08-07,Virginia,Norfolk,700 block of Granby St,0,4,https://www.gunviolencearchive.org/incident/2084884,2021,08-2021
280,280,2084889,2021-08-06,Tennessee,Nashville,1000 block of 43rd Ave North,0,4,https://www.gunviolencearchive.org/incident/2084889,2021,08-2021
281,281,2082957,2021-08-04,Pennsylvania,Philadelphia,3653 Germantown Ave,0,4,https://www.gunviolencearchive.org/incident/2082957,2021,08-2021
282,282,2081884,2021-08-03,Illinois,Urbana,1204 W Church St,1,3,https://www.gunviolencearchive.org/incident/2081884,2021,08-2021
283,283,2081131,2021-08-02,South Carolina,Greenwood,101 Heddy Rd,3,1,https://www.gunviolencearchive.org/incident/2081131,2021,08-2021
284,284,2080733,2021-08-02,South Carolina,Columbia,6908 Two Notch Rd,0,9,https://www.gunviolencearchive.org/incident/2080733,2021,08-2021
285,285,2080390,2021-08-01,Texas,Nacogdoches,1400 block of Dolph St,1,3,https://www.gunviolencearchive.org/incident/2080390,2021,08-2021
286,286,2080536,2021-08-01,Rhode Island,Providence,77 Reservoir Ave,0,5,https://www.gunviolencearchive.org/incident/2080536,2021,08-2021
287,287,2079920,2021-08-01,Louisiana,New Orleans,1600 block of Iberville St,1,3,https://www.gunviolencearchive.org/incident/2079920,2021,08-2021
288,288,2079913,2021-08-01,Louisiana,New Orleans,Bourbon St and Orleans Ave,0,5,https://www.gunviolencearchive.org/incident/2079913,2021,08-2021
289,289,2079044,2021-07-31,Ohio,Columbus,1662 W Mound St,1,5,https://www.gunviolencearchive.org/incident/2079044,2021,07-2021
290,290,2078897,2021-07-31,Illinois,Chicago,1600 block of E Hayes Dr,1,3,https://www.gunviolencearchive.org/incident/2078897,2021,07-2021
291,291,2079271,2021-07-31,Indiana,Indianapolis,1134 W 30th St,0,5,https://www.gunviolencearchive.org/incident/2079271,2021,07-2021
292,292,2080006,2021-07-31,Michigan,Saginaw,2700 block of Lynnwood Ave,2,2,https://www.gunviolencearchive.org/incident/2080006,2021,07-2021
293,293,2079516,2021-07-31,New York,Corona (Queens),97-07 37th Ave,0,10,https://www.gunviolencearchive.org/incident/2079516,2021,07-2021
294,294,2081480,2021-07-31,Ohio,Cleveland,3100 block of W 25th St,0,5,https://www.gunviolencearchive.org/incident/2081480,2021,07-2021
295,295,2079533,2021-07-31,Kentucky,Lexington,414 East 5th St,0,5,https://www.gunviolencearchive.org/incident/2079533,2021,07-2021
296,296,2078540,2021-07-29,Iowa,Davenport,Pacific St and West Locust St,0,4,https://www.gunviolencearchive.org/incident/2078540,2021,07-2021
297,297,2077587,2021-07-29,Pennsylvania,Pittsburgh,239 Gilkeson Rd,3,2,https://www.gunviolencearchive.org/incident/2077587,2021,07-2021
298,298,2077018,2021-07-28,District of Columbia,Washington,3400 block of 22nd St SE,0,4,https://www.gunviolencearchive.org/incident/2077018,2021,07-2021
299,299,2077549,2021-07-28,Alabama,Montgomery,1800 block of Rosa Parks Ave,1,3,https://www.gunviolencearchive.org/incident/2077549,2021,07-2021
300,300,2076889,2021-07-28,South Carolina,Charleston,Hanover St and Johnson St,1,4,https://www.gunviolencearchive.org/incident/2076889,2021,07-2021
301,301,2074353,2021-07-25,Michigan,Detroit,16342 W McNichols Rd,0,6,https://www.gunviolencearchive.org/incident/2074353,2021,07-2021
302,302,2074406,2021-07-25,California,Wasco,1718 1st St,5,1,https://www.gunviolencearchive.org/incident/2074406,2021,07-2021
303,303,2073472,2021-07-25,Illinois,Chicago,4800 block of W Race Ave,0,5,https://www.gunviolencearchive.org/incident/2073472,2021,07-2021
304,304,2073597,2021-07-25,Washington,Seattle,100 block of Occidental Ave S,2,3,https://www.gunviolencearchive.org/incident/2073597,2021,07-2021
305,305,2072782,2021-07-24,Ohio,Columbus,N High St and E 4th Ave,0,4,https://www.gunviolencearchive.org/incident/2072782,2021,07-2021
306,306,2072962,2021-07-24,Texas,Amarillo,1306 NE 3rd Ave,0,6,https://www.gunviolencearchive.org/incident/2072962,2021,07-2021
307,307,2072761,2021-07-24,Georgia,Macon,Cherry St and Martin Luther King Jr Blvd,2,3,https://www.gunviolencearchive.org/incident/2072761,2021,07-2021
308,308,2072342,2021-07-23,South Carolina,Spartanburg,151 Palisade St,2,2,https://www.gunviolencearchive.org/incident/2072342,2021,07-2021
309,309,2071982,2021-07-23,South Carolina,Darlington,505 Oleander Dr,0,4,https://www.gunviolencearchive.org/incident/2071982,2021,07-2021
310,310,2072896,2021-07-23,California,San Rafael,842 4th St,2,4,https://www.gunviolencearchive.org/incident/2072896,2021,07-2021
