level_0,index,incident_id,incident_date,state,city_or_country,address,killed,injured,incident_url,year,month-year
324,324,2353847,2022-07-07,Illinois,Chicago,2800 block of W Polk St,0,4,https://www.gunviolencearchive.org/incident/2353847,2022,07-2022
325,325,2352780,2022-07-06,Florida,Tampa,Courtland St N and Chelsea St E,0,4,https://www.gunviolencearchive.org/incident/2352780,2022,07-2022
326,326,2352444,2022-07-06,Illinois,Chicago,1820 W Maypole Ave,0,4,https://www.gunviolencearchive.org/incident/2352444,2022,07-2022
327,327,2352349,2022-07-06,Minnesota,Saint Cloud,Sixth Ave S and 11th St S,0,4,https://www.gunviolencearchive.org/incident/2352349,2022,07-2022
328,328,2352342,2022-07-05,Ohio,Steubenville,601 South St,0,4,https://www.gunviolencearchive.org/incident/2352342,2022,07-2022
329,329,2349853,2022-07-05,Indiana,Gary,1900 block of Missouri St,3,7,https://www.gunviolencearchive.org/incident/2349853,2022,07-2022
330,330,2349723,2022-07-05,New York,Rochester,485 N Clinton Ave,1,3,https://www.gunviolencearchive.org/incident/2349723,2022,07-2022
331,331,2348384,2022-07-04,Illinois,Highland Park,Central Ave and 2nd St,8,29,https://www.gunviolencearchive.org/incident/2348384,2022,07-2022
332,332,2348163,2022-07-04,Massachusetts,Boston,Dorchester Ave and Bailey St,0,4,https://www.gunviolencearchive.org/incident/2348163,2022,07-2022
333,333,2350033,2022-07-04,Minnesota,Minneapolis,724 Sibley St NE,0,7,https://www.gunviolencearchive.org/incident/2350033,2022,07-2022
334,334,2349746,2022-07-04,Wisconsin,Kenosha,6321 25th Ave,1,4,https://www.gunviolencearchive.org/incident/2349746,2022,07-2022
335,335,2348230,2022-07-04,California,Sacramento,1525 L St,1,4,https://www.gunviolencearchive.org/incident/2348230,2022,07-2022
336,336,2348750,2022-07-04,Missouri,Kansas City,E 13th St and Grand Blvd,0,4,https://www.gunviolencearchive.org/incident/2348750,2022,07-2022
337,337,2349545,2022-07-04,Colorado,Denver,2100 block of W Pacific Pl,1,3,https://www.gunviolencearchive.org/incident/2349545,2022,07-2022
338,338,2349758,2022-07-04,New York,Corona (Queens),171st St and 137th Ave,0,4,https://www.gunviolencearchive.org/incident/2349758,2022,07-2022
339,339,2348204,2022-07-04,Illinois,Chicago,6500 block of S Martin Luther King Dr,0,5,https://www.gunviolencearchive.org/incident/2348204,2022,07-2022
340,340,2348167,2022-07-04,Virginia,Richmond,10 block of W Broad St,0,6,https://www.gunviolencearchive.org/incident/2348167,2022,07-2022
341,341,2348191,2022-07-03,Virginia,Manassas,8129 Sudley Rd,0,4,https://www.gunviolencearchive.org/incident/2348191,2022,07-2022
342,342,2347373,2022-07-03,South Carolina,Mullins,Leroy Bethea St and Jennings Rd,0,4,https://www.gunviolencearchive.org/incident/2347373,2022,07-2022
343,343,2348303,2022-07-03,Arizona,Surprise,W Carlin Dr,3,4,https://www.gunviolencearchive.org/incident/2348303,2022,07-2022
344,344,2348263,2022-07-03,Washington,Tacoma,3300 block of S Asotin St,0,4,https://www.gunviolencearchive.org/incident/2348263,2022,07-2022
345,345,2347060,2022-07-02,Texas,Haltom City,5700 block of Diamond Oaks Dr N,3,4,https://www.gunviolencearchive.org/incident/2347060,2022,07-2022
346,346,2347228,2022-07-02,New York,Corona (Queens),129-09 89th Ave,1,3,https://www.gunviolencearchive.org/incident/2347228,2022,07-2022
347,347,2347297,2022-07-02,North Carolina,Clinton,506 Stetson St,0,6,https://www.gunviolencearchive.org/incident/2347297,2022,07-2022
348,348,2346422,2022-07-01,Illinois,Chicago,3800 block of W Monroe St,0,4,https://www.gunviolencearchive.org/incident/2346422,2022,07-2022
349,349,2346406,2022-07-01,Mississippi,Greenwood,Johnson St and Main St,1,7,https://www.gunviolencearchive.org/incident/2346406,2022,07-2022
350,350,2345410,2022-07-01,Illinois,Chicago,408 S Wells St,2,3,https://www.gunviolencearchive.org/incident/2345410,2022,07-2022
351,351,2345144,2022-06-30,Kentucky,Allen,49 N Railroad St,3,5,https://www.gunviolencearchive.org/incident/2345144,2022,06-2022
352,352,2344954,2022-06-30,New Jersey,Newark,291 Clinton Pl,0,9,https://www.gunviolencearchive.org/incident/2344954,2022,06-2022
